time,FX.FLOWS.DEVELOPED.FXF_G10.FXF_ALL.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.FXF_ALL.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.FXF_ALL.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.FXF_ALL.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.USD.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.USD.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.USD.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.USD.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.EUR.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.EUR.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.EUR.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.EUR.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.AUD.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.AUD.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.AUD.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.AUD.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CAD.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CAD.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CAD.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CAD.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CHF.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CHF.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CHF.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.CHF.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.GBP.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.GBP.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.GBP.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.GBP.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.JPY.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.JPY.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.JPY.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.JPY.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NOK.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NOK.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NOK.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NOK.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NZD.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NZD.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NZD.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.NZD.FXF_RM.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.SEK.FXF_BANK.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.SEK.FXF_CORP.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.SEK.FXF_LEV.NET_INDEX,FX.FLOWS.DEVELOPED.FXF_G10.SEK.FXF_RM.NET_INDEX
2011-12-15,-5.55765,1.98811,0.742221,-1.93833,-1.24804,1.70254,0.010925,1.73267,2.94287,-2.10335,-0.996452,-2.21837,-0.478088,0.614218,1.92233,-4.06617,3.21364,1.36116,-0.320931,-1.02665,-3.92165,3.75388,5.06432,-2.76976,-0.529613,0.637711,1.93025,2.71306,-1.71763,0.104375,0.565809,-0.994475,3.24419,-0.738825,-0.756505,-4.26366,-3.85147,-1.89607,0.223867,-0.696932,-3.21187,-1.44752,-6.9014,9.65196
2011-12-16,-4.05793,-8.76078,7.00624,11.5973,-0.332789,0.33236,0.41022,0.754303,2.94287,1.04003,-0.895153,-0.137011,-2.04387,-0.809719,0.539269,-1.31121,1.56524,-4.9178,-0.903299,-4.57156,-4.27886,0.57504,4.80905,5.26888,-2.10704,-3.42989,-1.81395,3.54901,-0.408584,0.531993,0.930225,-2.16162,3.88757,-2.01547,-1.60633,2.47682,2.31481,-1.06971,7.96044,-2.80688,-5.59729,1.0024,-2.42424,10.5366
2011-12-19,10.7554,-14.2383,2.23934,25.8638,-1.59684,-0.289272,0.346328,-2.48095,1.04791,-0.673761,-0.02899,3.93402,3.70114,-1.59465,0.944398,0.513438,1.48239,1.63927,6.82189,0.674333,-4.27886,-1.55014,-1.22596,2.156,-1.38898,-3.11782,-0.617948,4.63821,0.118771,-0.315837,0.497465,0.450043,0.125826,-4.16122,-4.46532,3.74575,4.56969,-1.73035,2.79883,-1.53396,6.97434,-2.44456,-2.83135,13.7669
2011-12-20,14.8482,-2.54834,2.43831,-1.95245,0.119585,0.344649,0.302732,-0.067955,0.943742,0.003015,-1.10322,3.16729,-4.15341,-0.125579,5.27132,-1.50301,-2.31594,-2.86132,2.66638,-2.08434,4.27886,-3.73473,-1.98553,-7.34061,0.526185,-0.445733,-4.76602,-3.49816,1.05457,2.41,-0.844805,1.26824,0.396923,-2.91688,-1.72098,0.576851,7.02333,0.112237,-2.40929,0.815375,6.97434,4.666,7.02773,6.71388
2011-12-21,-3.09221,-2.53987,3.41814,-5.78231,-1.14989,0.219519,-0.138928,0.22295,1.40989,1.286,1.05831,-0.131467,4.72949,-0.386562,1.59544,-1.97886,-2.07091,-1.13914,-1.82576,-8.09973,-0.114904,-3.75388,-0.088359,-5.01186,-2.88628,1.56117,-2.26227,6.58748,2.3967,-2.41,-1.64191,0.447663,0.478732,1.32963,2.7565,1.74353,-2.64541,0.685059,-4.84435,-3.89388,-3.23964,0.068327,8.80947,4.33186
2011-12-22,5.54778,-13.5076,9.42943,9.33556,-1.35026,-0.671474,0.023639,0.209572,1.57973,1.83359,-0.438235,-1.92239,-0.135367,0.037647,2.65972,0.536895,-1.65698,-1.07538,4.22757,-3.91789,4.27886,-1.76049,-2.27453,3.20094,1.44751,-1.37952,0.215044,5.23824,4.03056,-1.12433,-3.43453,4.15354,-1.72617,-1.82343,2.65287,-7.76134,-0.476617,-0.210559,1.43005,-0.496977,-0.443488,-7.33369,4.36783,10.095
2011-12-23,1.34225,-3.3515,10.3044,2.49967,-0.94589,-0.439059,-0.319741,0.407369,0.65901,-0.065231,-0.339801,-0.377021,0.563325,-0.250032,1.83916,1.44596,-0.657941,1.97449,2.69916,3.26595,-1.1965,-0.119974,-0.054873,4.10664,1.64204,1.03593,-0.324299,-1.73674,0.310533,0.332007,1.35437,0.343465,1.33089,-4.47343,-0.954272,-1.56645,-2.97698,-0.749498,3.33814,-0.893747,2.61376,-0.596703,3.06651,-2.49574
2011-12-26,-0.224221,0.068136,-0.144757,-0.955223,-0.178188,-0.268482,-0.00596,0.238418,0.365955,0.004905,-0.138797,-0.046368,0.16392,-0.076929,,-0.254094,0.112656,0.008286,,0.000591,0.541726,0.195928,,,-0.097924,-0.149749,,-0.040651,-1.18516,0.39001,,-0.854136,-0.203,-0.02221,,,0.031823,-0.012762,,0.001017,0.223967,-0.00086,,
2011-12-27,3.16341,9.3839,6.81768,-9.31403,-0.829569,1.06755,-1.01213,1.21189,0.085887,-2.10335,-0.33987,0.270308,1.2396,0.582339,0.697255,0.068391,2.8841,2.75704,1.85793,1.9385,0.153503,1.51356,-0.069561,-0.480041,0.011485,3.14227,-0.309818,-3.73408,4.33628,-1.10437,0.457091,-1.29527,-1.75022,-1.28917,1.87988,-0.827296,-0.194895,-0.049493,0.830062,-0.724968,-2.77276,4.86753,2.82683,-5.74147
2011-12-28,-10.1939,0.810051,12.6903,1.96208,-0.449169,0.495122,0.055194,0.275204,2.50293,0.96355,-1.77668,-0.693828,-1.29945,-0.53155,1.69907,4.33769,-1.75494,4.9178,1.53559,-4.29581,-4.25098,3.75388,3.16048,-0.180389,-0.666849,-1.77126,2.20424,1.25673,-0.611907,0.868293,1.20483,-0.413505,-0.919726,-2.11893,-4.54347,2.16746,-5.07746,0.369553,4.65701,7.85839,2.33359,-6.13641,4.494,-8.34985
